{'192.168.1.4': '0', '192.168.1.6': '-76', '192.168.1.21': '-71', 'location': 'Desk'}
{'192.168.1.4': '-98', '192.168.1.6': '-77', '192.168.1.21': '-85', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-81', '192.168.1.21': '-77', 'location': 'Desk'}
{'192.168.1.4': '-96', '192.168.1.6': '0', '192.168.1.21': '-77', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-78', '192.168.1.21': '-81', 'location': 'Desk'}
{'192.168.1.4': '-79', '192.168.1.6': '-66', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '-89', '192.168.1.6': '-79', '192.168.1.21': '-74', 'location': 'Desk'}
{'192.168.1.4': '-100', '192.168.1.6': '0', '192.168.1.21': '-56', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-62', '192.168.1.21': '-55', 'location': 'Kitchen'}
{'192.168.1.4': '-86', '192.168.1.6': '-77', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-77', '192.168.1.21': '-56', 'location': 'Kitchen'}
{'192.168.1.4': '-92', '192.168.1.6': '-62', '192.168.1.21': '-74', 'location': 'Kitchen'}
{'192.168.1.4': '-79', '192.168.1.6': '-76', '192.168.1.21': '-75', 'location': 'Kitchen'}
{'192.168.1.4': '-91', '192.168.1.6': '-76', '192.168.1.21': '-61', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-75', '192.168.1.21': '-56', 'location': 'Kitchen'}
{'192.168.1.4': '-83', '192.168.1.6': '-68', '192.168.1.21': '-70', 'location': 'Kitchen'}
{'192.168.1.4': '-91', '192.168.1.6': '-67', '192.168.1.21': '-75', 'location': 'Kitchen'}
{'192.168.1.4': '-82', '192.168.1.6': '-63', '192.168.1.21': '-61', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '-75', 'location': 'Kitchen'}
